id,label
0,0
1,1
2,0
3,1
4,0
5,1
6,0
7,1
8,1
9,1
10,1
11,0
12,0
13,0
14,1
15,0
16,1
17,1
18,1
19,1
20,0
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,1
33,0
34,0
35,1
36,0
37,1
38,1
39,1
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,0
51,0
52,0
53,1
54,0
55,0
56,1
57,1
58,1
59,0
60,0
61,1
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,1
72,1
73,1
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,1
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,1
96,0
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,1
106,0
107,1
108,0
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,1
120,1
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,1
129,1
130,0
131,0
132,1
133,1
134,0
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,0
143,0
144,1
145,0
146,1
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,1
156,1
157,1
158,1
159,0
160,1
161,0
162,1
163,0
164,0
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,0
173,0
174,1
175,1
176,1
177,0
178,1
179,0
180,0
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,1
191,1
192,0
193,0
194,1
195,1
196,0
197,1
198,1
199,0
200,1
201,0
202,0
203,1
204,0
205,1
206,0
207,1
208,1
209,1
210,0
211,1
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,0
229,1
230,0
231,1
232,1
233,1
234,1
235,0
236,0
237,1
238,0
239,1
240,0
241,1
242,0
243,0
244,1
245,1
246,1
247,1
248,0
249,1
250,1
251,1
252,0
253,1
254,0
255,1
256,1
257,0
258,1
259,1
260,0
261,0
262,0
263,1
264,1
265,0
266,1
267,1
268,1
269,0
270,1
271,0
272,0
273,0
274,0
275,1
276,1
277,0
278,0
279,1
280,1
281,0
282,1
283,0
284,0
285,0
286,1
287,1
288,0
289,0
290,1
291,1
292,1
293,1
294,0
295,0
296,1
297,0
298,1
299,1
300,0
301,0
302,0
303,0
304,1
305,1
306,0
307,0
308,0
309,1
310,1
311,1
312,0
313,1
314,0
315,1
316,1
317,1
318,1
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,1
329,0
330,0
331,0
332,0
333,1
334,1
335,0
336,1
337,0
338,1
339,0
340,1
341,1
342,0
343,0
344,0
345,0
346,0
347,1
348,1
349,1
350,0
351,1
352,1
353,1
354,1
355,0
356,1
357,0
358,1
359,0
360,0
361,1
362,0
363,1
364,1
365,0
366,0
367,1
368,0
369,0
370,1
371,1
372,1
373,1
374,0
375,1
376,0
377,1
378,0
379,1
380,0
381,1
382,1
383,0
384,0
385,0
386,1
387,0
388,1
389,1
390,0
391,1
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,0
408,0
409,1
410,0
411,1
412,0
413,1
414,1
415,1
416,1
417,0
418,1
419,0
420,1
421,1
422,1
423,1
424,1
425,1
426,0
427,1
428,1
429,1
430,1
431,1
432,0
433,0
434,0
435,0
436,1
437,1
438,0
439,1
440,0
441,0
442,1
443,1
444,0
445,1
446,1
447,0
448,1
449,1
450,1
451,0
452,1
453,1
454,1
455,1
456,0
457,0
458,0
459,0
460,1
461,1
462,0
463,1
464,1
465,0
466,1
467,0
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,0
476,0
477,0
478,1
479,0
480,1
481,1
482,0
483,1
484,1
485,1
486,0
487,0
488,1
489,0
490,0
491,0
492,1
493,0
494,1
495,1
496,1
497,0
498,0
499,0
500,0
501,1
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,1
510,1
511,1
512,0
513,1
514,0
515,0
516,1
517,0
518,0
519,1
520,0
521,0
522,1
523,1
524,1
525,1
526,0
527,0
528,1
529,1
530,1
531,0
532,0
533,0
534,0
535,0
536,0
537,1
538,0
539,1
540,1
541,1
542,0
543,1
544,1
545,1
546,1
547,0
548,0
549,1
550,0
551,0
552,1
553,1
554,0
555,0
556,0
557,1
558,0
559,0
560,1
561,0
562,0
563,0
564,0
565,1
566,0
567,1
568,1
569,0
570,1
571,1
572,1
573,1
574,0
575,1
576,1
577,0
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,0
586,1
587,1
588,0
589,0
590,0
591,0
592,1
593,0
594,0
595,1
596,1
597,1
598,1
599,1
600,1
601,0
602,0
603,1
604,0
605,0
606,0
607,1
608,1
609,0
610,0
611,1
612,0
613,1
614,0
615,0
616,0
617,1
618,1
619,1
620,1
621,1
622,1
623,0
624,1
625,0
626,0
627,0
628,0
629,1
630,1
631,0
632,0
633,1
634,0
635,1
636,1
637,1
638,0
639,0
640,0
641,1
642,1
643,0
644,0
645,1
646,1
647,1
648,1
649,1
650,1
651,0
652,0
653,1
654,0
655,1
656,0
657,1
658,0
659,0
660,1
661,1
662,1
663,0
664,0
665,1
666,0
667,1
668,0
669,0
670,0
671,1
672,1
673,0
674,0
675,0
676,0
677,0
678,0
679,1
680,0
681,1
682,0
683,0
684,0
685,0
686,1
687,0
688,0
689,0
690,0
691,1
692,1
693,0
694,0
695,0
696,0
697,1
698,0
699,0
700,1
701,1
702,1
703,0
704,0
705,1
706,0
707,1
708,0
709,1
710,1
711,0
712,1
713,1
714,0
715,1
716,0
717,0
718,1
719,0
720,0
721,0
722,0
723,1
724,0
725,0
726,1
727,0
728,1
729,1
730,1
731,0
732,1
733,0
734,0
735,1
736,1
737,0
738,0
739,0
740,0
741,1
742,0
743,1
744,0
745,0
746,1
747,0
748,0
749,0
750,1
751,0
752,0
753,0
754,1
755,1
756,1
757,1
758,1
759,0
760,1
761,0
762,1
763,0
764,0
765,1
766,1
767,0
768,1
769,0
770,1
771,1
772,1
773,1
774,0
775,0
776,1
777,0
778,0
779,0
780,0
781,1
782,1
783,1
784,1
785,0
786,0
787,0
788,0
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,0
797,0
798,0
799,0
800,0
801,1
802,1
803,1
804,0
805,0
806,0
807,1
808,0
809,0
810,0
811,1
812,0
813,1
814,1
815,0
816,1
817,1
818,1
819,1
820,0
821,1
822,1
823,0
824,0
825,0
826,0
827,1
828,0
829,1
830,0
831,1
832,1
833,1
834,0
835,1
836,0
837,0
838,0
839,0
840,1
841,1
842,0
843,0
844,0
845,1
846,0
847,0
848,0
849,1
850,0
851,1
852,1
853,1
854,1
855,0
856,0
857,1
858,0
859,0
860,0
861,1
862,0
863,0
864,0
865,0
866,1
867,1
868,1
869,1
870,1
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,1
880,0
881,1
882,0
883,1
884,0
885,0
886,0
887,0
888,0
889,1
890,0
891,1
892,1
893,0
894,1
895,1
896,1
897,1
898,0
899,1
900,1
901,1
902,0
903,1
904,0
905,1
906,1
907,0
908,1
909,1
910,1
911,0
912,0
913,1
914,1
915,1
916,0
917,0
918,1
919,1
920,1
921,0
922,0
923,1
924,0
925,0
926,0
927,1
928,1
929,1
930,1
931,1
932,1
933,0
934,0
935,1
936,1
937,0
938,1
939,0
940,1
941,0
942,0
943,0
944,1
945,1
946,1
947,1
948,0
949,1
950,0
951,1
952,0
953,0
954,0
955,1
956,1
957,0
958,0
959,1
960,0
961,1
962,0
963,1
964,1
965,0
966,1
967,0
968,0
969,0
970,1
971,0
972,0
973,1
974,0
975,0
976,0
977,0
978,0
979,0
980,1
981,0
982,0
983,0
984,0
985,0
986,1
987,1
988,0
989,0
990,1
991,0
992,1
993,1
994,0
995,1
996,0
997,1
998,0
999,0
1000,1
1001,1
1002,0
1003,0
1004,1
1005,1
1006,1
1007,0
1008,1
1009,0
1010,1
1011,1
1012,0
1013,0
1014,1
1015,0
1016,0
1017,0
1018,1
1019,0
1020,0
1021,1
1022,1
1023,1
1024,0
1025,0
1026,1
1027,0
1028,0
1029,1
1030,0
1031,0
1032,0
1033,1
1034,1
1035,1
1036,0
1037,0
1038,0
1039,0
1040,1
1041,1
1042,1
1043,0
1044,0
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,0
1054,1
1055,0
1056,0
1057,0
1058,0
1059,1
1060,1
